name,filename,filesize
Image 20140510,20140510_123410.jpg,3088984
Image 20140605 A,20140605_195355.jpg,620056
Image 20140605 B,20140605_195646.jpg,1244629
Image 20160322 A,20160322_123859.jpg,1095646
Image 20160322 B,20160322_124011.jpg,1234059
Image 20200929,20200929_181840.jpg,608803
Image 20201120 A,20201120_111203.jpg,498232
Image 20201120 B,20201120_111217.jpg,455363
Image 20201120 C,20201120_111315.jpg,515443
Image 20201120 D,20201120_111345.jpg,462679
Image 20201121 A,20201121_081430.jpg,399551
Image 20201121 B,20201121_081442.jpg,407743
Image 20201121 C,20201121_081503.jpg,265690
Image 20201121 D,20201121_081514.jpg,333838
Image 20230605,20230605_155504.jpg,1297424
Image 20230608,20230608_173517.jpg,743370
Image 20231122,20231122_132502.jpg,633905
Clog dance in graphite,21-Clog-dance-in-graphite-still-2014-JAkerman.jpg,211005
Change,3 Change.png,347670
Norma Major,3-Norma_Major.jpg,334912
Ridley Road Neckpiece,3-Ridley Road Neckpiece.JPG,634105
Songs of Salt installation 2,3-Songs of Salt installation shot 2.jpg,246439
Image 3,3.jpg,190551
Your,4 Your.png,270646
Dennis Thatcher,4-Dennis_Thatcher.jpg,409228
Fantasy Shanty Crew detail,4-Fantasy Shanty Crew detail.jpg,328346
Subsonic in Burr,4-Subsonic in Burr.jpg,2078574
Whitechapel Prawns,4-Whitechapel-Prawns.jpg,211355
Image 4,4.jpg,176116
Standards,5 Standards.png,338090
Radome draft,5-Radome-draft.jpg,2382060
Image 5,5.jpg,130217
Postcard print,50%25Postcard+print.jpg,299514
Postcard print,50%Postcard print.jpg,709738
Of,6 Of.png,130562
One room living,6-One room living.jpg,285420
Image 6,6.jpg,137955
Utopian Landscape,7 Utopian-Landscape-JA.jpg,635012
Working,7 Working.png,284935
7 Positions In 2 Hours,7PositionsIn2Hours_59.4x42.0_CrayonAndPen.jpg,1341844
And,8 And.png,331188
Living,9 Living.png,315136
Abbe,Abbe.jpg,435889
All patches,Allpatches-web.jpg,394421
Alternative Press 1,Alternative Press1.jpg,4201976
Alternative Press 2,Alternative Press2.jpg,4343510
Alternative Press 3,Alternative Press3.jpg,3955189
Alternative Press 4,Alternative Press4.jpg,3916899
Annihilation Seal Heraldry 10,Annihilation_Seal-Disassembled-Heraldry-10-web.jpg,578347
Annihilation Seal Heraldry 3,Annihilation_Seal-Disassembled-Heraldry-3-web.jpg,552755
Annihilation Seal Heraldry 4,Annihilation_Seal-Disassembled-Heraldry-4-web.jpg,626520
Annihilation Seal Heraldry 5,Annihilation_Seal-Disassembled-Heraldry-5-web.jpg,597053
Annihilation Seal Heraldry 6,Annihilation_Seal-Disassembled-Heraldry-6-web.jpg,673574
Annihilation Seal Heraldry 7,Annihilation_Seal-Disassembled-Heraldry-7-web.jpg,621981
Annihilation Seal Heraldry 8,Annihilation_Seal-Disassembled-Heraldry-8-web.jpg,511346
Annihilation Seal Heraldry 9,Annihilation_Seal-Disassembled-Heraldry-9-web.jpg,672261
Annihilation Seal Heraldry,Annihilation_Seal-Disassembled-Heraldry-web.jpg,334279
Annihilation Seal Heraldry 2,Annihilation_Seal-Disassembled-Heraldry2-web.jpg,2866960
Annihilation Seal Hatchment detail,Annihilation_Seal-Excel-Hatchment-detail-2web.jpg,399990
Annihilation Seal Hatchment,Annihilation_Seal-Excel-Hatchment-web.jpg,2576107
Annihilation Seal Horn chain,Annihilation_Seal-Horn-chain-web.jpg,328581
Annihilation Seal Horn,Annihilation_Seal-Horn-web.jpg,248936
Annihilation Seal Leader,Annihilation_Seal-Merged-Leader-web.jpg,580584
Annihilation Seal Leader 3,Annihilation_Seal-Merged-Leader3-web.jpg,356529
Annihilation Seal Opisthotonus,Annihilation_Seal-Opisthotonus-web.jpg,252046
Annihilation Seal Banner back,Annihilation_Seal-Winged-Banner-B-2-back-web.jpg,776526
Annihilation Seal Banner detail back,Annihilation_Seal-Winged-Banner-B-2-detailback2-web.jpg,1002425
Annihilation Seal Banner detail front,Annihilation_Seal-Winged-Banner-B-2-detailfront2-web.jpg,671335
Annihilation Seal 2,Annihilation_Seal2-web.jpg,425182
Annihilation Seal 3,Annihilation_Seal3-web.jpg,633146
Annihilation Seal Opisthotonus Heraldry,Annihilation_SealOpisthotonus-and-Disassembled-Heraldry-web.jpg,205763
Arch Sun,Arch Sun.jpeg,496580
Arch in hand,Arch in hand.jpeg,563115
Arch in Hand,Arch-in-Hand_30x30cm_Jessica-Akerman.jpg,350942
Aurora Jug,Aurora_Jug.jpg,450438
Menwith Hill radome back,Back - Menwith Hill radome gold foil embossed on dark grey leather pendant with gold plated chain.jpg,839735
Menwith Hill radome back,Back+-+Menwith+Hill+radome+gold+foil+embossed+on+dark+grey+leather+pendant+with+gold+plated+chain.jpg,503775
Badge participant 1,Badge-participant1.jpg,568921
Badge participant 10,Badge-participant10.jpg,244627
Badge participant 11,Badge-participant11.jpg,1011089
Badge participant 12,Badge-participant12.jpg,385604
Badge participant 13,Badge-participant13.jpg,195921
Badge participant 14,Badge-participant14.jpg,568488
Badge participant 16,Badge-participant16.jpg,338882
Badge participant 17,Badge-participant17.jpg,250123
Badge participant 18,Badge-participant18.jpg,196541
Badge participant 19,Badge-participant19.jpg,192699
Badge participant 2,Badge-participant2.jpg,459811
Badge participant 3,Badge-participant3.jpg,499644
Badge participant 4,Badge-participant4.jpg,299716
Badge participant 5,Badge-participant5.jpg,643692
Badge participant 6,Badge-participant6.jpg,530112
Badge participant 7,Badge-participant7.jpg,866071
Badge participant 8,Badge-participant8.jpg,246923
Badge participant 9,Badge-participant9.jpg,217031
Banner crop 2,Banner-crop-2.jpg,211159
Banner crop,Banner-crop.jpg,179957
Basketry,Basketry.jpeg,547694
Bat Mouth,Bat-Mouth-Jessica-Akerman.jpg,450288
Blinds and hole,Blinds-and-hole-Jessica-Akerman.jpg,476186
Blue Capston,Blue Capston.jpg,1126244
Blue Halyard,Blue Halyard.jpg,3294261
Bows,Bows-Jessica-Akerman.jpg,618504
Boys,Boys.jpg,2026295
Brass foil on tan leather,Brass foil embossed on mid tan leather.jpg,497553
Broadside A,Broadside A.jpg,2954474
Broadside B,Broadside B.jpg,2914112
Brown tape dispenser,Brown-tape-dispenser-2.jpg,3517444
Bustle tongue,Bustle-tongue-Jessica-Akerman.jpg,636626
Bustle tongue side,Bustle-tongue-side-Jessica-Akerman.jpg,668872
Bw,Bw50%.jpg,103112
Crankle,CRANKLE-Akerman_Jo Hounsome Photography.jpg,670077
Candice Marie,Candice-Marie.jpg,189289
Cervix,Cervix web.jpeg,346271
Chilopoda close,Chilopoda-close.jpg,239248
Chilopoda crop,Chilopoda-crop-%40sarahmaingotphotography.jpg,183706
Chilopoda crop,Chilopoda-crop-@sarahmaingotphotography.jpg,196689
Chilopoda crop dark,Chilopoda-crop-dark-@sarahmaingotphotography.jpg,164902
Chilopoda patio,Chilopoda-patio-crop.jpg,763523
Clog Dance Aftermath,ClogDanceAftermath1.jpg,760874
Cocoon,Cocoon.jpg,637905
Collage 1,Collage1.jpg,879370
Collage 2,Collage2.jpg,398781
Collage 4,Collage4.jpg,337483
Coming In,Coming-In-500[1].png,379633
Cork Caryatids,Cork_Caryatids-JAkerman.png,1891148
Cork earring,CorkearringbluepinkyellowSOONsquare.jpg,1139290
Crankle detail,Crankle-detail_Jessica_Akerman-Jo Hounsome Photography.jpeg,172380
Dampers And Hose,DampersAndHose(MachinesITempWith)_55.0x75.4_GraphiteOnPaper.jpg,1692849
Darlinghurst Playground Songs,DarlinghurstPlaygroundSongs(OnTheLine)_42.0x29.7_DigitalPrintFromCharcoalAndInkDrawings.jpg,1333339
Dazzle Pip,DazzlePip.jpg,2657985
Dazzle banner,Dazzlebanner.jpg,2805143
Dazzle banner drawing,Dazzlebannerdrawing.jpg,638296
Dazzle closeup,Dazzlecloseup.jpg,2278562
December Adelaide,December-Adelaide-web.jpg,266077
Deffo,Deffo 2021-06-26 at 11.29.53.jpeg,123781
Deteriorating arch,Deteriorating+arch.jpg,746354
Dominion seal,Dominion seal.jpg,2198927
Double Head,DoubleHead_59.6x84.2_GraphiteOnPaper.jpg,1877828
Drinkers,Drinkers 2021-06-26 at 11.28.16.jpeg,157867
Ellie,Ellie.jpg,1940970
Eye wall hanging,Eye wall hanging.jpeg,344684
Eye banner,Eyebanner.jpg,420044
Eye brooches,Eyebrooches.jpg,1524772
Eye brooches SOON,EyebroochesSOON.jpg,855379
Arcadian Landscape Palestine,FINAL_ARCADIAN_LANDSCAPE__PALESTINE_.jpg,506292
Face Pots,Face-Pots-crop.jpg,247083
Fantasy rocks,Fantasyrocks.jpg,252745
Fat Fingers and Boobs,Fat-Fingers-and-Boobs_Jessica-Akerman.jpg,406611
Fat Rascals,Fat-Rascals-Jessica-Akerman.jpg,430275
Fat Rascals installation,Fat-Rascals_installation-shot_Jessica-Akerman.jpg,445150
Feathered Screwballs,Feathered_Screwballs.jpg,126514
Feminist badge making,FeministbadgemakingatUlsterMuseum-JA-web.png,1901880
Foil on leather 1,Foil embossed on leather (1).jpg,457700
Foil on leather 2,Foil embossed on leather (2).jpg,559461
Foil on leather 3,Foil embossed on leather (3).jpg,458205
Foil on leather 4,Foil embossed on leather (4).jpg,477710
Foot,Foot-Jessica-Akerman.jpg,643973
Front of Stage,Front-of-Stage_30x30cm_Jessica-Akerman.jpg,361323
Full length blinds,Full length blinds web.jpeg,201417
Gas cylinders,Gas-cylinders-2014-JAkerman.jpg,309509
Gold foil on coral leather,Gold foil embossed on coral leather.jpg,648832
Gold foil on dark brown leather,Gold foil embossed on dark brown leather.jpg,555633
Gold foil on dark brown leather 2,Gold foil embossed on dark brown leather2.jpg,586982
Gold foil on dark grey leather,Gold foil embossed on dark grey leather.jpg,489849
Gold foil on dark grey leather 2,Gold foil embossed on dark grey leather2.jpg,529945
Gold foil on mid brown leather,Gold foil embossed on mid brown leather.jpg,526880
Gold foil on mid brown leather 2,Gold foil embossed on mid brown leather2.jpg,636462
Green Patch,Green Patch square.jpg,2833150
HV,HV.jpg,456233
Hilary,Hilary.jpg,2020945
Hole charcoal drawing,Holecharcoaldrawing-500width.jpg,238471
Pink foil on black leather,Holographic pink foil embossed on black leather.jpg,432121
Pink foil on brown leather,Holographic pink foil embossed on mid brown leather.jpg,597160
Pink foil on tan leather,Holographic pink foil embossed on mid tan leather.jpg,527472
Pink foil on white leather,Holographic pink foil emobssed on white leather.jpg,419938
Purple foil on tan leather,Holographic purple foil embossed on mid tan leather.jpg,410939
Rainbow foil on brown leather blue,Holographic rainbow foil embossed on mid brown leather (blues).jpg,620777
Rainbow foil on brown leather red,Holographic rainbow foil embossed on mid brown leather (reds).jpg,575985
Rainbow foil on tan leather blue,Holographic rainbow foil embossed on mid tan leather (blues).jpg,466147
Rainbow foil on tan leather red,Holographic rainbow foil embossed on mid tan leather (reds).jpg,523901
Rainbow foil on white leather blue,Holographic rainbow foil embossed on white leather (blues).jpg,430349
Rainbow foil on white leather red,Holographic rainbow foil embossed on white leather (reds).jpg,444063
Silver foil on black leather,Holographic silver foil embossed on black leather.jpg,465148
Silver foil on black leather 2,Holographic silver foil embossed on black leather2.jpg,406601
Hoo Stevedore detail,Hoo-Stevedore-detail-2012-JAkerman.jpg,307251
Hood bag,Hood bag.jpg,1982657
Hooded Stork,Hooded Stork.jpg,2008281
Horse,Horse.jpg,425315
Hot Legs,Hot Legs.jpg,1053792
Hunger Strike!,Hunger Strike!-grey.jpg,1624996
March 10 2024,IMB edited Jessica Ackermann 10 March 2024 Jo Hounsome Photography.jpg,143735
Image 20190901,IMG_20190901_170509_541.jpg,404223
Image 2209,IMG_2209.png,354703
Image 4781,IMG_4781.jpg,906585
Image 4792,IMG_4792.jpg,652079
Image 9620,IMG_9620.JPG,1126672
Installation,Installation.jpg,436761
Irish Women,Irish Women.jpg,3103107
Ceremonial Suffragette,JA-Ceremonial Suffragette.jpg,7690749
Kosar Rock on Ancient Woman,JA-Kosar-Rock on Ancient Woman-web.jpg,205004
Kosar Shelves Instal,JA-Kosar-Shelves-Instal-web.jpg,398960
Kosar Shelves,JA-Kosar-Shelves.jpg,697513
Kosar installation,JA-Kosar-installation-shot-incl-macrame.jpg,1103368
Buildbase Shed Colour,JAkerman-Buildbase-Shed-Colour-web.jpg,522540
Buildbase Shed,JAkerman-Buildbase-Shed.jpg,672194
Buildbase Truck arm wax,JAkerman-Buildbase-Truck-arm-wax-web.jpg,410807
Buildbase Truck arm,JAkerman-Buildbase-Truck-arm-web.jpg,498906
Buildbase Vince and Glen,JAkerman-Buildbase-Vince-and-Glen-web.jpg,1133733
Buildbase bricks,JAkerman-Buildbase-bricks-web.jpg,341142
Buildbase sandbags,JAkerman-Buildbase-sandbags-looking-out-to-Crossway-web.jpg,789641
Buildbase yard,JAkerman-Buildbase-yard.jpg,399334
Annihilation Seal black,JAkerman_Annihilation Seal-black.jpg,533160
Annihilation Seal pink,JAkerman_Annihilation Seal-pink.jpg,677195
Annihilation Seal yellow,JAkerman_Annihilation Seal-yellow.jpg,509697
Annihilation Seal 2,JAkerman_Annihilation Seal2.jpg,440575
Annihilation Seal pink,JAkerman_Annihilation+Seal-pink.jpg,206198
Annihilation Seal 2,JAkerman_Annihilation+Seal2.jpg,81609
Jan Sep Suffrage Patches,Jan_Sep_Suffrage_Patches.jpg,1298531
Jellyfish Toby Jug,Jellyfish Toby Jug.jpeg,639637
Round logo,JessAkerman_roundlogo.jpg,54125
Definitions of Drawing II 2,Jessica-Akerman-Definitions-of-Drawing-II-image-credit-Courtney-Spencer-2-web.jpg,533417
Definitions of Drawing II 4,Jessica-Akerman-Definitions-of-Drawing-II-image-credit-Courtney-Spencer-4-web.jpg,519051
Definitions of Drawing II 5,Jessica-Akerman-Definitions-of-Drawing-II-image-credit-Courtney-Spencer-5-web.jpg,513453
Definitions of Drawing II 6,Jessica-Akerman-Definitions-of-Drawing-II-image-credit-Courtney-Spencer-6-web.jpg,863141
Definitions of Drawing II 7,Jessica-Akerman-Definitions-of-Drawing-II-image-credit-Courtney-Spencer-7-web.jpg,489762
Definitions of Drawing II 8,Jessica-Akerman-Definitions-of-Drawing-II-image-credit-Courtney-Spencer-8-web.jpg,531214
Definitions of Drawing II 9,Jessica-Akerman-Definitions-of-Drawing-II-image-credit-Courtney-Spencer-9-web.jpg,533580
Jessica Akerman portrait,Jessica-Akerman.jpg,727980
Where We Used to Go ceramic head,Jessica_Akerman-Where_We_Used_to_Go-ceramic_head.jpg,585696
Where We Used to Go detail2,Jessica_Akerman-Where_We_Used_to_Go-detail2.jpg,306477
Where We Used to Go ceramic heads,Jessica_Akerman-Where_We_Used_to_Go-detail_ceramic_heads.jpg,872542
Where We Used to Go installation 3,Jessica_Akerman-Where_We_Used_to_Go-installation-3.jpg,358717
Where We Used to Go installation 9,Jessica_Akerman-Where_We_Used_to_Go-installation-9.jpg,627706
Jo Hounsome Photography,Jessica_Akerman_Jo_Hounsome_Photography.jpeg,147174
Josiah Heads,Josiah-Heads-Jessica-Akerman.jpg,352183
Josiah Heads Witchy Hand,Josiah-Heads_Witchy-Hand_Jessica-Akerman.jpg,364628
Jungle Curtain close up,Jungle Curtain close up.jpg,1059626
Jungle Curtain,Jungle-Curtain_30x30cm_Jessica-Akerman.jpg,322907
Jungled Window,Jungled Window.jpg,657219
Ladys Tresses Painted Pigeons,LadysTressesPaintedPigeonsCollection-web.jpg,640570
Landscape on Feet,Landscape on Feet.jpg,699356
Landscape on Feet 30x30,Landscape-on-Feet_30x30cm_Jessica-Akerman.jpg,353553
Latoya,Latoya-web.jpg,291564
Leg close up,Leg close up web.jpeg,258923
Legs,Legs-crop.jpg,175640
Life Raft,Life-Raft_Jessica-Akerman-Jo Hounsome Photography.jpg,334053
Live Work Space Installation,LiveWorkSpaceInstallationShot(HoleStory)_243.84x243.84_Installation.jpg,1088217
Lovely,Lovely 2021-06-26 at 11.29.54.jpeg,138310
Made in Roath Waulking Songs,Made-in-Roath-Waulking-Songs-2014-JAkerman.jpg,184483
Market portrait series,Market-portrait-series-Rochford-Market-web.jpg,278062
Matt black foil on grey tan,Matt black foil embossed on grey-tan leather.jpg,367542
Matt black foil on mid tan,Matt black foil embossed on mid tan leather.jpg,407368
Matt black foil on pale tan,Matt black foil embossed on pale tan leather.jpg,373204
Matt black foil on very pale tan,Matt black foil embossed on very pale tan leather.jpg,332149
May square,Maysquare50%.jpg,476032
May square,Maysquare50%25.jpg,148658
Mens League,MensLeague50.jpg,1187991
Mens League for Womens Suffrage,MensLeagueforWomensSuffrage50.jpg,1115052
Menwith Hill radome gold and blue,Menwith Hill radome gold and royal blue foil embossed on dark grey leather pendant with gold plated chain.jpg,1272100
Menwith Hill radome gold,Menwith Hill radome gold foil embossed on dark grey leather with gold plated chain.jpg,1116949
Menwith Hill radome gold on coral,Menwith%2BHill%2Bradome%2Bgold%2Bfoil%2Bembossed%2Bon%2Bcoral%2Bleather%2Bpendant%2Bwith%2Bgold%2Bplated%2Bchain.jpg,774182
Menwith Hill sheepskin,MenwithHillsheepskin.jpg,1322814
Mersea Oyster,Mersea-Oyster-500adj.jpg,201941
Mersea Oyster,MerseaOyster(BatonShellGrotto)_10.0x15.0_OysterShellAndAcrylicPaint.jpg,623276
Millicent January Suffrage patch,Millicent-January-Suffrage-patch.jpg,654232
Mouse,Mouse-web.jpg,246498
Nice,Nice 2021-06-26 at 11.28.13.jpeg,216538
Normal,Normal-JAkerman.jpg,3687357
November March of the Women,November-MarchoftheWomen-sq.jpg,437350
Oliver One,OliverOne_59.6x80.0_GraphitePowderOnPaper.jpg,1385209
Oliver Two,OliverTwo_59.6x84.2_GraphitePowederOnPaper.jpg,1564578
Orange Patch,Orange Patch square.jpg,764900
Out on a Limb,Out on a Limb 400.png,255374
Out on a Limb,Out-on-a-Limb-500.png,397206
Painted still,Painted-still-500.jpg,213094
Paintings,Paintings_Jessica-Akerman.jpg,393183
People,People50%.jpg,153480
Pierced Tongue,Pierced Tongue web.jpeg,322051
Pillars,Pillars.jpeg,488032
Pink rectangle,Pink-rectangle-crop.jpg,237696
Pinned leather in orange,Pinned leather in orange.jpg,2382238
Pinned leather in orange,Pinned+leather+in+orange.jpg,255700
Pip holding banner,Pipholdingbanner.jpg,2280709
Playground Apartment,PlaygroundApartmentInvestorRickets.jpg,2479574
Polymer clay finger,Polymer-clay-finger-Jessica-Akerman.jpg,581636
Profile editions spread,Profile editions spread.jpg,69159
RAF Fylingdales on coral,RAF Fylingdales gold foil embossed on coral leather brooch.jpg,792536
RAF Fylingdales on grey,RAF Fylingdales gold foil embossed on dark grey leather brooch.jpg,699079
RAF Fylingdales on brown,RAF Fylingdales gold foil embossed on mid brown leather brooch.jpg,805059
RAF Fylingdales on brown,RAF%2BFylingdales%2Bgold%2Bfoil%2Bembossed%
RAF Fylingdales on coral,RAF+Fylingdales+gold+foil+embossed+on+coral+leather+brooch.jpg,877184
RAF Fylingdales on grey,RAF+Fylingdales+gold+foil+embossed+on+dark+grey+leather+brooch.jpg,99545
RAF Fylingdales on brown,RAF+Fylingdales+gold+foil+embossed+on+mid+brown+leather+brooch.jpg,78026
Radiator ribs still,Radiator-ribs-still-500.jpg,221836
Rope ladder,Ropeladder-500width.jpg,403579
Rosa May Billinghurst,RosaMayBillinghurst-thumb.jpg,185452
Rosa May Billinghurst square,RosaMayBillinghurst-thumbsq.jpg,54498
Stinky,STINKY.jpg,458252
Scottie,Scottie-Jessica-Akerman.jpg,711652
Scottie bow,Scottie-bow_Jessica-Akerman_Jo Hounsome Photography.jpg,436109
Scottie,Scottie_Jessica-Akerman_Jo Hounsome Photography.jpg,718206
She,She.png,2655828
She Will Provide,SheWillProvide.png,3683761
She Will Provide square,Shewillprovidesq2.jpg,60644
Shrunken Victorian,Shrunken Victorian.jpg,3097126
Sill,Sill.jpg,782451
Silver foil on black leather,Silver foil embossed on black leather.jpg,508447
Silver foil on blue leather,Silver foil embossed on blue leather.jpg,522147
Smirker,Smirker_59.6x84.2_GraphiteOnPaper.jpg,1623267
Sophia Duleep Singh May patch,SophiaDuleepSinghMaypatch50%.jpg,2938889
Start To Change Your Standards,StartToChangeYourStandardsOfWorkingAndLiving(RochfordArtCollectorSeries)_21.0x8.1_DigitalPrintOnCard.jpg,368820
Stopper,Stopper_Jo-Hounsome-Photography_Jessica-Akerman.jpg,694357
Stopper close,Stopper_close_Jessica-Akerman_Jo Hounsome Photography.jpg,638142
Stuck,Stuck-Jessica-Akerman.jpg,426021
Stuck closeup,Stuck-closeup-Jessica-Akerman.jpg,489486
Summer of Smiles Flags,Summer_of_Smiles-Flags.png,884746
Super,Super 2021-06-26 at 11.29.51.jpeg,157407
Table close,Table-close.jpg,367144
Table crop,Table-crop-@sarahmaingotphotography.jpg,227720
Table crop close,Table-crop-close-@sarahmaingotphotography.jpg,229606
Table crop dark,Table-crop-dark-@sarahmaingotphotography.jpg,96958
Table crop,Table-crop.jpg,979983
Toe to Toe,Toe to Toe.jpg,586288
Top blinds,Top blinds.jpeg,387157
Top Knot And Fringe,TopKnotAndFringe_29.6x84.2_GraphiteOnPaper.jpg,1619674
Twins,Twins50.jpg,109871
Vase Dentata,Vase Dentata.jpg,934807
Veneer leather still,Veneer-leather-still-500.jpg,237481
Vigilamus,Vigilamus(ThaumatropeProject)_10.0x10.0_WatercolourAndPencilOnWatercolourPaper.jpg,391104
Vote collage,Vote collage.jpg,355545
Vote Squares,Vote_Squares.jpg,563506
Waulking Song Gestures,WaulkingSongGestures%28WithFrankieArmstrong%29_150x200_PerformanceWithVoiceMovementAndPlaydough.jpg,475876
Waulking Song Gestures,WaulkingSongGestures(WithFrankieArmstrong)_150x200_PerformanceWithVoiceMovementAndPlaydough.jpg,2905291
Werewolf,Werewolf 400.png,308954
Werewolf,Werewolf-500[1].png,478526
WhatsApp Image 2022-01-27 A,WhatsApp Image 2022-01-27 at 14.48.21.jpeg,562449
WhatsApp Image 2022-01-27 B,WhatsApp Image 2022-01-27 at 14.49.27.jpeg,361591
WhatsApp Image 2023-07-06,WhatsApp Image 2023-07-06 at 16.30.18.jpeg,322061
Whitstable Crowd,Whitstable-Crowd.png,261028
Whitstable Dead Horse,Whitstable-Dead-Horse.png,214195
Wing explosion,Wingexplosion.jpg,667830
Wings,Wings.jpg,103561
With ship,With ship 2021-06-26 at 11.28.15 (2).jpeg,165426
Womens Suffrage,WomensSuffrage50.jpg,1417574
Work,Work.jpg,440881
Workshop,Workshop.jpg,1232042
Woven wing,Woven wing.jpg,102559
Yestreen,Yestreen 400.png,261662
Yestreen,Yestreen-500[1].png,405558
Bursary with brooms,a-n-bursary-with-brooms-2014.jpg,213699
Asset 1,asset-1.JPG,419938
Asset 12,asset-12.JPEG,12737
Asset 13,asset-13.JPG,477710
Asset 18,asset-18.JPG,526880
Asset 2,asset-2.JPG,419938
Asset 21,asset-21.JPG,529945
Asset 22,asset-22.JPG,586982
Asset 23,asset-23.JPG,2604088
Asset 26,asset-26.JPG,777452
Asset 27,asset-27.JPG,1681203
Asset 28,asset-28.JPG,10544
Asset 29,asset-29.JPG,419938
Asset 3,asset-3.JPG,332149
Asset 32,asset-32.JPG,777399
Asset 34,asset-34.JPG,2604088
Asset 36,asset-36.JPG,12808
Asset 38,asset-38.JPG,11265
Asset 39,asset-39.JPG,721952
Asset 4,asset-4.JPG,6954
Asset 40,asset-40.JPG,11265
Asset 47,asset-47.JPG,465148
Asset 48,asset-48.JPG,430349
Asset 50,asset-50.JPG,2604088
Asset 51,asset-51.JPG,444063
Asset 52,asset-52.JPG,1419430
Asset 53,asset-53.JPG,922086
Asset 55,asset-55.JPEG,11395
Asset 59,asset-59.JPG,211005
Asset 6,asset-6.JPG,648832
Asset 61,asset-61.JPG,849822
Asset 64,asset-64.JPG,9283
Asset 67,asset-67.JPG,373204
Asset 71,asset-71.JPG,373204
Asset 8,asset-8.JPG,497553
